"id","item","texteffect","chislo"
"1766","greathammer_n02b","90% Interrupt chance","90"
"1767","greathammer_n02c","90% Interrupt chance","90"
"1768","greathammer_n03","90% Interrupt chance","90"
"1769","greathammer_n03b","90% Interrupt chance","90"
"1770","greathammer_n03c","90% Interrupt chance","90"
"1771","greathammer_n04","90% Interrupt chance","90"
"1772","greathammer_n04b","90% Interrupt chance","90"
"1773","greathammer_n04c","90% Interrupt chance","90"
"1774","greathammer_n05","90% Interrupt chance","90"
"1775","greathammer_n05b","90% Interrupt chance","90"
"1776","greathammer_n05c","90% Interrupt chance","90"
"1777","greathammer_n06","90% Interrupt chance","90"
"1778","greathammer_n06b","90% Interrupt chance","90"
"1779","greathammer_n06c","90% Interrupt chance","90"
"1780","greathammer_u01","90% Interrupt chance","90"
"1781","greathammer_u01b","90% Interrupt chance","90"
"1782","greathammer_u01c","90% Interrupt chance","90"
"1783","greathammer_u01x","90% Interrupt chance","90"
"1784","greathammer_u02","90% Interrupt chance","90"
"1785","greathammer_u02b","90% Interrupt chance","90"
"1786","greathammer_u02c","90% Interrupt chance","90"
"1787","greathammer_u03","90% Interrupt chance","90"
"1788","greathammer_u03b","90% Interrupt chance","90"
"1789","greathammer_u03c","90% Interrupt chance","90"
"1790","greathammer_u04","90% Interrupt chance","90"
"1791","greathammer_u04b","90% Interrupt chance","90"
"1792","greathammer_u04c","90% Interrupt chance","90"
"1793","greathammer_u05","90% Interrupt chance","90"
"1794","greathammer_u05b","90% Interrupt chance","90"
"1795","greathammer_u05c","90% Interrupt chance","90"
"1796","greathammer_u05x","90% Interrupt chance","90"
"1797","greathammer_u06","90% Interrupt chance","90"
"1798","greathammer_u06b","90% Interrupt chance","90"
"1799","greathammer_u06c","90% Interrupt chance","90"
"1800","greathammer_u07","90% Interrupt chance","90"
"1801","greathammer_u07b","90% Interrupt chance","90"
"1802","greathammer_u07c","90% Interrupt chance","90"
"1803","greathammer_u07d","90% Interrupt chance","90"
"1804","ratkiller","90% Interrupt chance","90"
"1805","zombiesummoner","90% Interrupt chance","90"
"1806","zzz_grells_hammer","90% Interrupt chance","90"
"1807","zzz_wraithaxe","90% Interrupt chance","90"
"1808","zzz_wraithhammer","90% Interrupt chance","90"
"1809","zzz_wraithmace","90% Interrupt chance","90"
"1810","zzz_wraithspear","90% Interrupt chance","90"
"1811","z_greathammer_m03_set","90% Interrupt chance","90"
"1812","z_greathammer_u05_set","90% Interrupt chance","90"
"1813","z_greathammer_u06_set","90% Interrupt chance","90"
"1814","legendary2_shield05","60% Knock Back Resistance","60"
"1815","legendary2_shield05b","60% Knock Back Resistance","60"
"1816","legendary2_shield05c","60% Knock Back Resistance","60"
"1817","legendary2_axe05","+5% Attack Speed","5"
"1818","legendary2_axe05","+6% Cast Speed","6"
"1819","legendary2_axe05","61 Health stolen on hit","61"
"1820","legendary2_axe05","9 Mana stolen on hit","9"
"1821","legendary2_axe05","1070 Physical Damage over 5 sec.","1070"
"1822","legendary2_axe05","6% reduction in Fumble Chance","6"
"1823","legendary2_axe05","10% chance to Stun target for 2 sec.","10"
"1824","legendary2_axe05","+30% Damage to secondary targets","30"
"1825","legendary2_axe05b","4% increase in magic-finding Luck","4"
"1826","legendary2_axe05b","+20% Melee Weapon Damage bonus","20"
"1827","legendary2_axe05b","6% chance to cast Acid Rain from target","6"
"1828","legendary2_axe05b","10% chance to cast Scalding Geyser from target","10"
"1829","legendary2_axe05b","2% chance to cast Call Forth the Skull on kill","2"
"1830","legendary2_axe05b","20% chance to break enemy shields","20"
"1831","legendary2_axe05c","+8% Critical Hit Chance","8"
"1832","legendary2_axe05c","5% chance to cast Lightning from target","5"
"1833","legendary2_bow05","5% chance to Poison for 5 sec.","5"
"1834","legendary2_bow05","1% chance that target Flees for 12 sec.","1"
"1835","legendary2_bow05","5% chance to cast Raise Shadowling on kill","5"
"1836","legendary2_bow05","+15% to Poison Damage","15"
"1837","legendary2_bow05","9% chance to immobilize Target for 8 sec.","9"
"1838","legendary2_bow05b","+8% to Electric Damage","8"
"1839","legendary2_bow05b","+8% to Fire Damage","8"
"1840","legendary2_bow05b","+8% to Ice Damage","8"
"1841","legendary2_bow05b","+8% to Poison Damage","8"
"1842","legendary2_bow05b","5% chance to Burn for 5 sec.","5"
"1843","legendary2_bow05b","5% chance to Freeze for 5 sec.","5"
"1844","legendary2_bow05b","5% chance to cast Fire Storm from target","5"
"1845","legendary2_bow05b","5% chance to cast Glacial Spike from target","5"
"1846","legendary2_bow05b","+2 seconds of Burn/Shock/Freeze/Poison","2"
"1847","legendary2_bow05c","-262 to All Armor per hit","262"
"1848","legendary2_bow05c","3% chance to cast Acid Rain from target","3"
"1849","legendary2_cannon04","80% bonus to Critical Damage","80"
"1850","legendary2_cannon04","-157 to All Armor per hit","157"
"1851","legendary2_cannon04","2% chance to cast Meteor Strike from target","2"
"1852","legendary2_cannon04","Explosion On Death",""
"1853","legendary2_cannon04","60% chance to break enemy shields","60"
"1854","legendary2_cannon04b","20% chance to Shock for 5 sec.","20"
"1855","legendary2_cannon04b","All Damage Taken is reduced by -2% ","2"
"1856","legendary2_cannon04b","+25% pet and minion Damage","25"
"1857","legendary2_cannon04b"," Charge  rate increased by 20%","20"
"1858","legendary2_cannon04c","5% chance to cast Blinding Cloud from target","5"
"1859","legendary2_cannon04c","25% chance to Stun target for 2 sec.","25"
"1860","legendary2_crossbow03","+103 Physical Damage","103"
"1861","legendary2_crossbow03","10% chance that target Flees for 3 sec.","10"
"1862","legendary2_crossbow03","+15% pet and minion Armor","15"
"1863","legendary2_crossbow03","+15% pet and minion Damage","15"
"1864","legendary2_crossbow03","15% chance to cast Raise Shadowling on kill","15"
"1865","legendary2_crossbow03","+2% Dodge chance","2"
"1866","legendary2_crossbow03b","+35% to Electric Damage","35"
"1867","legendary2_crossbow03b","+35% to Fire Damage","35"
"1868","legendary2_crossbow03b","+35% to Ice Damage","35"
"1869","legendary2_crossbow03b","+35% to Poison Damage","35"
"1870","legendary2_crossbow03b","15% chance to cast Fire Storm from target","15"
"1871","legendary2_crossbow03c","+15% to All Damage","15"
"1872","legendary2_crossbow03c","5% chance to cast Meteor Strike on kill","5"
"1873","legendary2_fist06","5% chance to Burn for 5 sec.","5"
"1874","legendary2_fist06","5% chance to Freeze for 5 sec.","5"
"1875","legendary2_fist06","5% chance to Poison for 5 sec.","5"
"1876","legendary2_fist06","5% chance to Shock for 5 sec.","5"
"1877","legendary2_fist06"," Charge  rate increased by 25%","25"
"1878","legendary2_fist06","+88 Health/sec for every monster within 3 meters","88"
"1879","legendary2_fist06","+1 seconds of Burn/Shock/Freeze/Poison","1"
"1880","legendary2_fist06b","+25% Critical Hit Chance","25"
"1881","legendary2_fist06b","5% chance to cast Scalding Geyser from target","5"
"1882","legendary2_fist06b","10% chance to Stun target for 5 sec.","10"
"1883","legendary2_fist06c","152 Health stolen on hit","152"
"1884","legendary2_fist06c","5% chance to cast Eviscerate","5"
"1885","legendary2_greataxe04","15% chance to cast Thunder from target","15"
"1886","legendary2_greataxe04","20% reduction in Fumble Chance","20"
"1887","legendary2_greataxe04","+15% to Electric Damage","15"
"1888","legendary2_greataxe04","Silence for 5 sec.","5"
"1889","legendary2_greataxe04","4% faster movement speed","4"
"1890","legendary2_greataxe04b","5% chance to cast Fully Heal Self on kill","5"
"1891","legendary2_greataxe04b","1605 Physical Damage over 5 sec.","1605"
"1892","legendary2_greataxe04b","+100% Damage to secondary targets","100"
"1893","legendary2_greataxe04c","+172 Physical Damage","172"
"1894","legendary2_greataxe04c","5% chance to cast Thunder from target","5"
"1895","legendary2_greathammer04","+3% Cast Speed","3"
"1896","legendary2_greathammer04","22 Mana stolen on hit","22"
"1897","legendary2_greathammer04","10% chance to Stun target for 5 sec.","10"
"1898","legendary2_greathammer04","Silence for 10 sec.","10"
"1899","legendary2_greathammer04b","-157 to All Armor per hit","157"
"1900","legendary2_greathammer04b","92 Health stolen on hit","92"
"1901","legendary2_greathammer04b","+35% to Ice Damage","35"
"1902","legendary2_greathammer04b","10% chance to cast Glacial Spike from target","10"
"1903","legendary2_greathammer04c","-262 to All Armor per hit","262"
"1904","legendary2_greathammer04c","5% chance to cast Glacial Spike from target","5"
"1905","legendary2_greatsword04","+2% to Physical Armor","2"
"1906","legendary2_greatsword04","+15% Cast Speed","15"
"1907","legendary2_greatsword04","+69 Physical Damage","69"
"1908","legendary2_greatsword04","33% chance to cast Lightning from target","33"
"1909","legendary2_greatsword04","10% chance to cast Thunder from target","10"
"1910","legendary2_greatsword04b","+4% Critical Hit Chance","4"
"1911","legendary2_greatsword04b","40% bonus to Critical Damage","40"
"1912","legendary2_greatsword04b","6% chance to cast Acid Rain from target","6"
"1913","legendary2_greatsword04b","+218 Health/sec for every monster within 3 meters","218"
"1914","legendary2_greatsword04b","+5 Mana/sec for every monster within 3 meters","5"
"1915","legendary2_greatsword04c","5% chance to cast Fire Storm from target","5"
"1916","legendary2_greatsword04c","+75% Damage to secondary targets","75"
"1917","legendary2_hammer05","10% chance to Shock for 5 sec.","10"
"1918","legendary2_hammer05","+15% to Electric Damage","15"
"1919","legendary2_hammer05","33% chance to cast Lightning from target","33"
"1920","legendary2_hammer05","5% chance to cast Thunder from target","5"
"1921","legendary2_hammer05"," Charge  rate increased by 5%","5"
"1922","legendary2_hammer05b","25% chance to cast Meteor Strike on kill","25"
"1923","legendary2_hammer05b","10% chance to Stun target for 5 sec.","10"
"1924","legendary2_hammer05b","100% chance to break enemy shields","100"
"1925","legendary2_hammer05b","+75% Damage to secondary targets","75"
"1926","legendary2_hammer05c","5% chance to cast Scalding Geyser from target","5"
"1927","legendary2_hammer05c","2675 Physical Damage over 5 sec.","2675"
"1928","legendary2_pistol06","5% chance to cast Call Forth the Skull on kill","5"
"1929","legendary2_pistol06","25% chance to cast Raise Shadowling on kill","25"
"1930","legendary2_pistol06","+6% to Fire Damage","6"
"1931","legendary2_pistol06","+6% to Poison Damage","6"
"1932","legendary2_pistol06b","+4% Critical Hit Chance","4"
"1933","legendary2_pistol06b","5% increase in magic-finding Luck","5"
"1934","legendary2_pistol06b","+5m to Bow, Crossbow, Pistol and Wand range","5"
"1935","legendary2_pistol06b","1% chance to cast Fully Heal Self on kill","1"
"1936","legendary2_pistol06b","5880 Physical Damage over 3 sec.","5880"
"1937","legendary2_pistol06c","+50 Knockback","50"
"1938","legendary2_pistol06c","5% chance to cast Raise Shadowling on kill","5"
"1939","legendary2_polearm04","5% chance to Shock for 5 sec.","5"
"1940","legendary2_polearm04","+30% Damage to secondary targets","30"
"1941","legendary2_polearm04","+10% to Electric Damage","10"
"1942","legendary2_polearm04","10% chance to cast Lightning from target","10"
"1943","legendary2_polearm04","245 Physical Damage Reflected","245"
"1944","legendary2_polearm04","6% reduction in Fumble Chance","6"
"1945","legendary2_polearm04","Silence for 2 sec.","2"
"1946","legendary2_polearm04b","+5% Attack Speed","5"
"1947","legendary2_polearm04b","-105 to All Armor per hit","105"
"1948","legendary2_polearm04b","61 Health stolen on hit","61"
"1949","legendary2_polearm04b","9 Mana stolen on hit","9"
"1950","legendary2_polearm04b","+15% pet and minion Damage","15"
"1951","legendary2_polearm04b","3% chance to cast Acid Rain from target","3"
"1952","legendary2_polearm04b","15% chance to cast Scalding Geyser from target","15"
"1953","legendary2_polearm04c","60% bonus to Critical Damage","60"
"1954","legendary2_polearm04c","5% chance to cast Meteor Strike from target","5"
"1955","legendary2_rifle04","5% chance to cast Chaotic Rift on strike","5"
"1956","legendary2_rifle04","5% chance to cast Fire Storm from target","5"
"1957","legendary2_rifle04","5% chance to cast Glacial Spike from target","5"
"1958","legendary2_rifle04","5% chance to cast Thunder from target","5"
"1959","legendary2_rifle04","+10% to Electric Damage","10"
"1960","legendary2_rifle04","+10% to Fire Damage","10"
"1961","legendary2_rifle04","+10% to Ice Damage","10"
"1962","legendary2_rifle04b","10% chance that target Flees for 3 sec.","10"
"1963","legendary2_rifle04b","10% chance to cast Shed Poison Spore when you get hit","10"
"1964","legendary2_rifle04b","10% chance to cast Raise Shadowling on kill","10"
"1965","legendary2_rifle04b","25% chance to immobilize Target for 8 sec.","25"
"1966","legendary2_rifle04c","5% chance to cast Thunder from target","5"
"1967","legendary2_rifle04c","10% chance to Stun target for 5 sec.","10"
"1968","legendary2_shield05","-7% All Damage Taken for each monster within 3m","7"
"1969","legendary2_shield05","+306 Health/sec for every monster within 3 meters","306"
"1970","legendary2_shield05","+5 Mana/sec for every monster within 3 meters","5"
"1971","legendary2_shield05b","+10% to Physical Armor","10"
"1972","legendary2_shield05b","10% chance to Block","10"
"1973","legendary2_shield05b","+20% Wand and Staff Damage bonus","20"
"1974","legendary2_shield05b","+20% Melee Weapon Damage bonus","20"
"1975","legendary2_shield05b","+20% Ranged Weapon Damage bonus","20"
"1976","legendary2_shield05b","All Damage Taken is reduced by -1,1% ","1"
"1977","legendary2_shield05b","+5% Potion effectiveness","5"
"1978","legendary2_shield05c","1% chance to cast Fully Heal Self when you get hit","1"
"1979","legendary2_shield05c","-5% All Damage Taken for each monster within 3m","5"
"1980","legendary2_staff06","10% chance to Freeze for 5 sec.","10"
"1981","legendary2_staff06","10% chance to cast Blinding Cloud from target","10"
"1982","legendary2_staff06","10% chance to cast Chaotic Rift on strike","10"
"1983","legendary2_staff06"," Charge  rate increased by 15%","15"
"1984","legendary2_staff06","1605 Physical Damage over 5 sec.","1605"
"1985","legendary2_staff06","+50% Damage to secondary targets","50"
"1986","legendary2_staff06b","15% chance to cast Acid Rain from target","15"
"1987","legendary2_staff06b","10% chance to Stun target for 5 sec.","10"
"1988","legendary2_staff06b","+10% to All Damage","10"
"1989","legendary2_staff06b","Silence for 5 sec.","5"
"1990","legendary2_staff06c","10% chance to Burn for 5 sec.","10"
"1991","legendary2_staff06c","2% chance to cast Call Forth the Skull on kill","2"
"1992","legendary2_sword05","+6% Critical Hit Chance","6"
"1993","legendary2_sword05","+9% to All Damage","9"
"1994","legendary2_sword05","-157 to All Armor per hit","157"
"1995","legendary2_sword05","92 Health stolen on hit","92"
"1996","legendary2_sword05","9% chance to reflect missiles at 50% weapon DPS","9"
"1997","legendary2_sword05","15% chance to immobilize Target for 4 sec.","15"
"1998","legendary2_sword05","+10% to Ice Damage","10"
"1999","legendary2_sword05b","100% chance to Freeze for 5 sec.","100"
"2000","legendary2_sword05b","5% chance to cast Thunder from target","5"
"2001","legendary2_sword05b"," Charge  rate increased by 15%","15"
"2002","legendary2_sword05c","+15% to All Damage","15"
"2003","legendary2_sword05c","5% chance to cast Meteor Strike on kill","5"
"2004","legendary2_wand06","5% chance to cast Glacial Spike from target","5"
"2005","legendary2_wand06","5% chance to cast Thunder from target","5"
"2006","legendary2_wand06","3745 Physical Damage over 5 sec.","3745"
"2007","legendary2_wand06","10% chance to immobilize Target for 4 sec.","10"
"2008","legendary2_wand06","40% chance to break enemy shields","40"
"2009","legendary2_wand06b","+2% to Electric Damage","2"
"2010","legendary2_wand06b","+2% to Fire Damage","2"
"2011","legendary2_wand06b","+2% to Ice Damage","2"
"2012","legendary2_wand06b","+2% to Poison Damage","2"
"2013","legendary2_wand06b","152 Health stolen on hit","152"
"2014","legendary2_wand06b","+20% Melee Weapon Damage bonus","20"
"2015","legendary2_wand06b","5% chance to cast Chaotic Rift on strike","5"
"2016","legendary2_wand06b","5% chance to cast Meteor Strike on kill","5"
"2017","legendary2_wand06b","5% chance to cast Call Forth the Skull on kill","5"
"2018","legendary2_wand06c","+20% Wand and Staff Damage bonus","20"
"2019","legendary2_wand06c","5% chance to cast Chaotic Rift on strike","5"
"2020","hammer_m01slots","BLANK_NO_EFFECTS",""
"2021","hammer_m02slots","BLANK_NO_EFFECTS",""
"2022","hammer_m03slots","BLANK_NO_EFFECTS",""
"2023","hammer_m04slots","BLANK_NO_EFFECTS",""
"2024","hammer_m05slots","BLANK_NO_EFFECTS",""
"2025","hammer_m06slots","BLANK_NO_EFFECTS",""
"2026","hammer_m07slots","BLANK_NO_EFFECTS",""
"2027","hammer_m08slots","BLANK_NO_EFFECTS",""
"2028","hammer_u01","10% chance to Burn for 5 sec.","10"
"2029","hammer_u01","15% chance that target Flees for 3 sec.","15"
"2030","hammer_u01b","+1% Dodge chance","1"
"2031","hammer_u01b","15% chance to Stun target for 2 sec.","15"
"2032","hammer_u01b","+75% Damage to secondary targets","75"
"2033","hammer_u01c","-10 to All Armor per hit","10"
"2034","hammer_u01c","+15% to Ice Damage","15"
"2035","hammer_u01c","+10% pet and minion Speed","10"
"2036","hammer_u01c","+10% Potion effectiveness","10"
"2037","hammer_u02"," Augmented Weapon:     ",""
"2038","hammer_u02"," Kill 20 Goblins to Upgrade ","20"
"2039","hammer_u02","+15% to Fire Damage","15"
"2040","hammer_u02","10% chance to cast Fire Storm from target","10"
"2041","hammer_u02","------------------",""
"2042","hammer_u02","+3% Cast Speed","3"
"2043","hammer_u02","2% increase in the amount of gold found","2"
"2044","hammer_u02","7 Health stolen on hit","7"
"2045","hammer_u02","1% increase in magic-finding Luck","1"
"2046","hammer_u02","2 Mana stolen on hit","2"
"2047","hammer_u02","+5% pet and minion Health","5"
"2048","hammer_u02b"," Augmented Weapon:     ",""
"2049","hammer_u02b"," Kill 10 Champion Creatures to Upgrade ","10"
"2050","hammer_u02b","+4% Critical Hit Chance","4"
"2051","hammer_u02b","40% bonus to Critical Damage","40"
"2052","hammer_u02b","------------------",""
"2053","hammer_u02b","+5% Attack Speed","5"
"2054","hammer_u02b","+6% Cast Speed","6"
"2055","hammer_u02b","20% bonus to Critical Damage","20"
"2056","hammer_u02c","10% chance to cast Meteor Strike on kill","10"
"2057","hammer_u02c"," Charge  decay rate decreased by -30%","30"
"2058","hammer_u02c"," Charge  rate increased by 10%","10"
"2059","hammer_u02c","25% chance to Stun target for 2 sec.","25"
"2060","hammer_u03","+5 Dexterity Attribute bonus","5"
"2061","hammer_u03","20% chance to Poison for 5 sec.","20"
"2062","hammer_u03","50 Health stolen on hit","50"
"2063","hammer_u03b","+5% Attack Speed","5"
"2064","hammer_u03b","+2% Critical Hit Chance","2"
"2065","hammer_u03b","+13 Physical Damage","13"
"2066","hammer_u03b","1% increase in magic-finding Luck","1"
"2067","hammer_u03b","+96 Health","96"
"2068","hammer_u03b","+5% pet and minion Health","5"
"2069","hammer_u03b","60 Physical Damage over 5 sec.","60"
"2070","hammer_u03b","+5% chance to Execute","5"
"2071","hammer_u03c","+99 Physical Damage","99"
"2072","hammer_u03c","3 Mana stolen on hit","3"
"2073","hammer_u03c","+6% Damage to secondary targets","6"
"2074","hammer_u03c","+5% to Electric Damage","5"
"2075","hammer_u04","+12% Attack Speed","12"
"2076","hammer_u04","40% bonus to Critical Damage","40"
"2077","hammer_u04","4% Damage bonus when dual-wielding","4"
"2078","hammer_u04b","+19 Fire Armor","19"
"2079","hammer_u04b","All Damage Taken is reduced by -1,1% ","1"
"2080","hammer_u04b","20% chance to break enemy shields","20"
"2081","hammer_u04b","110 Physical Damage over 5 sec.","110"
"2082","hammer_u04b","+5% chance to Execute","5"
"2083","hammer_u04b","3% reduction in Fumble Chance","3"
"2084","hammer_u04b","+3% to Fire Damage","3"
"2085","hammer_u04b","5% chance to Stun target for 2 sec.","5"
"2086","hammer_u04b","Silence for 1 sec.","1"
"2087","hammer_u04b","+15% Damage to secondary targets","15"
"2088","hammer_u04c","20% Damage bonus when dual-wielding","20"
"2089","hammer_u04c","+25% chance to Execute","25"
"2090","hammer_u04c","+3% to Poison Damage","3"
"2091","hammer_u04d","-42 to All Armor per hit","42"
"2092","hammer_u04d","10% chance to Burn for 5 sec.","10"
"2093","hammer_u04d","3% chance to cast Fully Heal Self on kill","3"
"2094","hammer_u04d"," Charge  rate increased by 15%","15"
"2095","hammer_u05","+15% Cast Speed","15"
"2096","hammer_u05","8 Mana stolen on hit","8"
"2097","hammer_u05","+6 Mana","6"
"2098","hammer_u05","+4% to All Damage","4"
"2099","hammer_u05b"," Augmented Weapon:     ",""
"2100","hammer_u05b"," Kill 50 Netherim to Upgrade ","50"
"2101","hammer_u05b","10% chance to cast Glacial Spike from target","10"
"2102","hammer_u05b","555 Physical Damage over 5 sec.","555"
"2103","hammer_u05b","------------------",""
"2104","hammer_u05b","-46 to All Armor per hit","46"
"2105","hammer_u05b","10% chance to Burn for 5 sec.","10"
"2106","hammer_u05b","10% chance to Poison for 5 sec.","10"
"2107","hammer_u05b","5% chance to cast Eviscerate","5"
"2108","hammer_u05c","+15% to Electric Damage","15"
"2109","hammer_u05c","+15% to Fire Damage","15"
"2110","hammer_u05c","+15% to Ice Damage","15"
"2111","hammer_u05c","+15% to Poison Damage","15"
"2112","hammer_u05c","+3% Attack Speed","3"
"2113","hammer_u05c","+2% Critical Hit Chance","2"
"2114","hammer_u06"," Augmented Weapon:     ",""
"2115","hammer_u06"," Kill 200 Dwarves to Upgrade ","200"
"2116","hammer_u06","+180 Physical Damage","180"
"2117","hammer_u06","10% chance to cast Thunder from target","10"
"2118","hammer_u06","------------------",""
"2119","hammer_u06","+6% Critical Hit Chance","6"
"2120","hammer_u06","40% bonus to Critical Damage","40"
"2121","hammer_u06","2% chance to Stun target for 5 sec.","2"
"2122","hammer_u06b","12% Damage bonus when dual-wielding","12"
"2123","hammer_u06b","+15% chance to Execute","15"
"2124","hammer_u06b","6% reduction in Fumble Chance","6"
"2125","hammer_u06b","Silence for 2 sec.","2"
"2126","hammer_u06b","+30% Damage to secondary targets","30"
"2127","hammer_u06c","+10% pet and minion Damage","10"
"2128","hammer_u06c","122 Physical Damage Reflected","122"
"2129","hammer_u06c"," Charge  rate increased by 30%","30"
"2130","hammer_u07"," Augmented Weapon:     ",""
"2131","hammer_u07"," Kill 1000 Undead Creatures to Upgrade ","1000"
"2132","hammer_u07","134 Health stolen on hit","134"
"2133","hammer_u07","26 Mana stolen on hit","26"
"2134","hammer_u07","------------------",""
"2135","hammer_u07","+8% Attack Speed","8"
"2136","hammer_u07","+9% Cast Speed","9"
"2137","hammer_u07","-41 to All Armor per hit","41"
"2138","hammer_u07","+6% Damage to secondary targets","6"
"2139","hammer_u07","+5% pet and minion Armor","5"
"2140","hammer_u07","+5% pet and minion Damage","5"
"2141","hammer_u07b","40% bonus to Critical Damage","40"
"2142","hammer_u07b","+157 Physical Damage","157"
"2143","hammer_u07b","+50% Damage to secondary targets","50"
"2144","hammer_u07c","+10% Critical Hit Chance","10"
"2145","hammer_u07c","25% chance to cast Glacial Spike from target","25"
"2146","hammer_u07c","60% chance to break enemy shields","60"
"2147","legendary_hammer02","60% bonus to Critical Damage","60"
"2148","legendary_hammer02","103 Health stolen on hit","103"
"2149","legendary_hammer02","+20% Ranged Weapon Damage bonus","20"
"2150","legendary_hammer03","5% chance on kill to Raise Zombie","5"
"2151","legendary_hammer03","1575 Physical Damage over 5 sec.","1575"
"2152","legendary_hammer03","+75% Damage to secondary targets","75"
"2153","z_hammer_m01_set","20% bonus to Critical Damage","20"
"2154","z_hammer_m01_set","-4~5 to All Armor per hit","4"
"2155","z_hammer_m01_set","5~7 Health stolen on hit","5"
"2156","z_hammer_u07_set","+4% Critical Hit Chance","4"
"2157","z_hammer_u07_set","-286 to All Armor per hit","286"
"2158","AncientSkeletonMace","90% Interrupt chance","90"
"2159","hammer_m01","90% Interrupt chance","90"
"2160","hammer_m01b","90% Interrupt chance","90"
"2161","hammer_m01c","90% Interrupt chance","90"
"2162","hammer_m01slots","90% Interrupt chance","90"
"2163","hammer_m02","90% Interrupt chance","90"
"2164","hammer_m02b","90% Interrupt chance","90"
"2165","hammer_m02c","90% Interrupt chance","90"
"2166","hammer_m02slots","90% Interrupt chance","90"
"2167","hammer_m03","90% Interrupt chance","90"
"2168","hammer_m03b","90% Interrupt chance","90"
"2169","hammer_m03c","90% Interrupt chance","90"
"2170","hammer_m03slots","90% Interrupt chance","90"
"2171","hammer_m04","90% Interrupt chance","90"
"2172","hammer_m04b","90% Interrupt chance","90"
"2173","hammer_m04c","90% Interrupt chance","90"
"2174","hammer_m04slots","90% Interrupt chance","90"
"2175","hammer_m05","90% Interrupt chance","90"
"2176","hammer_m05b","90% Interrupt chance","90"
"2177","hammer_m05c","90% Interrupt chance","90"
"2178","hammer_m05slots","90% Interrupt chance","90"
"2179","hammer_m06","90% Interrupt chance","90"
"2180","hammer_m06b","90% Interrupt chance","90"
"2181","hammer_m06c","90% Interrupt chance","90"
"2182","hammer_m06slots","90% Interrupt chance","90"
"2183","hammer_m07","90% Interrupt chance","90"
"2184","hammer_m07b","90% Interrupt chance","90"
"2185","hammer_m07c","90% Interrupt chance","90"
"2186","hammer_m07slots","90% Interrupt chance","90"
"2187","hammer_m08","90% Interrupt chance","90"
"2188","hammer_m08b","90% Interrupt chance","90"
"2189","hammer_m08c","90% Interrupt chance","90"
"2190","hammer_m08slots","90% Interrupt chance","90"
"2191","hammer_n01","90% Interrupt chance","90"
"2192","hammer_n01b","90% Interrupt chance","90"
"2193","hammer_n01c","90% Interrupt chance","90"
"2194","hammer_n02","90% Interrupt chance","90"
"2195","hammer_n02b","90% Interrupt chance","90"
"2196","hammer_n02c","90% Interrupt chance","90"
"2197","hammer_n03","90% Interrupt chance","90"
"2198","hammer_n03b","90% Interrupt chance","90"
"2199","hammer_n03c","90% Interrupt chance","90"
"2200","hammer_n04","90% Interrupt chance","90"
"2201","hammer_n04b","90% Interrupt chance","90"
"2202","hammer_n04c","90% Interrupt chance","90"
"2203","hammer_n05","90% Interrupt chance","90"
"2204","hammer_n05b","90% Interrupt chance","90"
"2205","hammer_n05c","90% Interrupt chance","90"
"2206","hammer_n06","90% Interrupt chance","90"
"2207","hammer_n06b","90% Interrupt chance","90"
"2208","hammer_n06c","90% Interrupt chance","90"
"2209","hammer_u01","90% Interrupt chance","90"
"2210","hammer_u01b","90% Interrupt chance","90"
"2211","hammer_u01c","90% Interrupt chance","90"
"2212","hammer_u02","90% Interrupt chance","90"
"2213","hammer_u02b","90% Interrupt chance","90"
"2214","hammer_u02c","90% Interrupt chance","90"
"2215","hammer_u03","90% Interrupt chance","90"
"2216","hammer_u03b","90% Interrupt chance","90"
"2217","hammer_u03c","90% Interrupt chance","90"
"2218","hammer_u04","90% Interrupt chance","90"
"2219","hammer_u04b","90% Interrupt chance","90"
"2220","hammer_u04c","90% Interrupt chance","90"
"2221","hammer_u04d","90% Interrupt chance","90"
"2222","hammer_u05","90% Interrupt chance","90"
"2223","hammer_u05b","90% Interrupt chance","90"
"2224","hammer_u05c","90% Interrupt chance","90"
"2225","hammer_u06","90% Interrupt chance","90"
"2226","hammer_u06b","90% Interrupt chance","90"
"2227","hammer_u06c","90% Interrupt chance","90"
"2228","hammer_u07","90% Interrupt chance","90"
"2229","hammer_u07b","90% Interrupt chance","90"
"2230","hammer_u07c","90% Interrupt chance","90"
"2231","legendary_hammer02","90% Interrupt chance","90"
"2232","legendary_hammer03","90% Interrupt chance","90"
"2233","skeleton_mace","90% Interrupt chance","90"
"2234","sturmsmith_mace","90% Interrupt chance","90"
"2235","zombieboss_mace","90% Interrupt chance","90"
"2236","z_hammer_m01_set","90% Interrupt chance","90"
"2237","z_hammer_u07_set","90% Interrupt chance","90"
"2238","legendary_pistol05","+30 Knockback","30"
"2239","legendary_pistol02","+8% Critical Hit Chance","8"
"2240","legendary_pistol02","+46 Dexterity Attribute bonus","46"
"2241","legendary_pistol02","15% chance to cast Blinding Cloud from target","15"
"2242","legendary_pistol03"," Charge  rate increased by 20%","20"
"2243","legendary_pistol03","+25% chance to Execute","25"
"2244","legendary_pistol03","10% chance to Stun target for 5 sec.","10"
"2245","legendary_pistol05","2320 Physical Damage over 5 sec.","2320"
"2246","legendary_pistol05","15% reduction in Fumble Chance","15"
"2247","legendary_pistol05","25% chance to Stun target for 2 sec.","25"
